CODE,Omschrijving
15800000-6,Diverse voedingsmiddelen
15810000-9,"Broodproducten, vers gebak en cake"
15811000-6,Broodproducten
15811100-7,Brood
15811200-8,Broodjes
15811300-9,Croissants
15811400-0,Crumpets
15811500-1,Bereide broodproducten
15811510-4,Sandwiches
15811511-1,Belegde broodjes
15812000-3,Gebak en cake
15812100-4,Gebak
15812120-0,Pasteien en taarten
15812121-7,Pasteien
15812122-4,Taarten
15812200-5,Cakes
15813000-0,"Brood, broodjes, croissants e.d."
15820000-2,Beschuit en koekjes; houdbaar gebak en cakes
15821000-9,Geroosterde broodproducten en gebak
15821100-0,Geroosterde broodproducten
15821110-3,Geroosterd brood
15821130-9,Knäckebröd
15821150-5,Beschuit
15821200-1,Zoete koekjes
15830000-5,Suiker en aanverwante producten
15831000-2,Suiker
15831200-4,Witte suiker
15831300-5,Ahornsuiker en esdoornstroop
15831400-6,Melasse
15831500-7,Suikerstroop
15831600-8,Honing
15832000-9,Afval van de suikerindustrie
15833000-6,Suikerproducten
15833100-7,Nagerechten
15833110-0,Taartbodems
15840000-8,Cacao; chocolade en suikerwerk
15841000-5,Cacao
15841100-6,Cacaopasta
15841200-7,"Cacaoboter, -vet of -olie"
15841300-8,Ongezoet cacaopoeder
15841400-9,Gezoet cacaopoeder
15842000-2,Chocolade en suikerwerk
15842100-3,Chocolade
15842200-4,Chocoladeproducten
15842210-7,Chocoladedrank
15842220-0,Chocoladerepen
15842300-5,Suikerwerk
15842310-8,Snoepgoed
15842320-1,Noga
15842400-6,"Gekonfijte vruchten, noten en vruchtenschillen"
15850000-1,Pastaproducten
15851000-8,Meelproducten
15851100-9,Ongekookte pasta
15851200-0,Bereide pasta en couscous
15851210-3,Bereide pasta
15851220-6,Gevulde pasta
15851230-9,Lasagne
15851250-5,Couscous
15851290-7,Ingeblikte pastaproducten
15860000-4,"Koffie, thee en aanverwante producten"
15861000-1,Koffie
15861100-2,Gebrande koffie
15861200-3,Cafeïnevrije koffie
15862000-8,Koffiesurrogaten
15863000-5,Thee
15863100-6,Groene thee
15863200-7,Zwarte thee
15864000-2,Bereidingen van thee of maté
15864100-3,Theezakjes
15865000-9,Kruideninfusies
15870000-7,Specerijen en kruiderijen
15871000-4,Azijn; sauzen; samengestelde kruiderijen; mosterdmeel; bereide mosterd
15871100-5,Azijn en azijnsurrogaten
15871110-8,Azijn of dergelijke
15871200-6,"Sauzen, samengestelde specerijen en kruiderijen"
15871210-9,Sojasaus
15871230-5,Tomatenketchup
15871250-1,Mosterd
15871260-4,Sauzen
15871270-7,Samengestelde kruiderijen
15871273-8,Mayonaise
15871274-5,Sandwich spreads
15871279-0,Chutney
15872000-1,Kruiden en specerijen
15872100-2,Peper
15872200-3,Specerijen
